Names,Price,Before Promo,Main Photo,descriptions,About Phone,All Reviews,Ratings,Number of Ratings,Brand,category
"Dl3 Mobilak Case Compatible with Samsung Galaxy A15 5G, Cover Silicone Transparent TPU Gorilla Anti-shock Protector Camera Shockproof Corners - Clear",93.45,105.00,https://m.media-amazon.com/images/I/71lXx8a9kBL._AC_SX522_.jpg,(Brand : Name Dl3 Mobilak)   (Compatible : Devices Mobile Phone)   (Color : Clear)   (Material : Thermoplastic Polyurethane)   (Water : Resistance Level Not Water Resistant)   (Form : Factor Basic Case),"Compatibility: This clear case only designed for Samsung Galaxy A15 5G. Good access to all holes and buttons, doesn't affect camera and touch. Anti-scratch on the back, protection to your phone against shocks, damages and dusts., BEST CAMERA PROTECTION: Specially designed Camera Openings / Holes ensure 100% Complete Camera Protection., DUST PLUGS: Built-In Dust Plug/s Protect Your Phone from Unwanted Dust & Debris which can slowly Cause Damage to your phone., SHOCKPROOF BUMPERS: Sleek Protectors on all 4 sides provide Excellent Protection to the device while keeping it Sleek & Slim., ANTI-SLIP GRIP: The Case has Anti-Slip Grip Design Built-In to ensure that the phone does not accidentally slip or fall from your hand., ULTRA SLIM & LIGHTWEIGHT: Extremely Lightweight with Slim Profile so that it does not add any bulk to your Slim Phone.",(شكلة كويس)   (جيد جدا وشكله حلو)   (منتج جيد، ومطابق للوصف.)   (حلو جدا)   (بعد فتره استخدام الجراب بيتحول لون اصفر)   (الجراب كويس بس مش بتاع A15 الجراب بتاع A24 الفتحات مش مظبوطه)   (The product is really beautiful 😍 I really liked it + it suits the phone and the material is really good 😄😄)   (متناسق مع الجهاز A15 وبنفس المواصفات المذكورة),4.2 out of 5 stars,93 ratings,Dl3 Mobilak,covers
"Nillkin for Galaxy S24 Ultra Case,CamShield Pro for Samsung Galaxy S24 Ultra Case with Slide Camera Cover, Slim Stylish, S24 Ultra Case,Black",475.99,No Sale,https://m.media-amazon.com/images/I/81buKiPd1ZL._AC_SX522_.jpg,(Brand : Name Nillkin)   (Compatible : Devices Samsung Galaxy S24 Ultra)   (Color : Black)   (Material : Polyethylene Terephthalate Polyethylene)   (Item : Dimensions 21 x 15 x 2 centimeters)   (Water : Resistance Level Water Resistant),"Nillkin CamShield Pro Case for Samsung Galaxy S24 Ultra：Design Case for Samsung Galaxy S24 Ultra Phone case for Samsung Galaxy S24 Ultra 5G, only for 6.8 inch, not suitable for other phone. NOT FIT OTHER MODEL AND SIZE, Camera Protection Design：0.2mm lifted bezel Slide camera protect cover protects the camera from scratches and protect your privacy. Accurate adjust the gap between the slide camera cover and case, the camera cover is easy to slide but not easy to loose., Four Corners Protection：Made of environmentally friendly TPU and PC material. Anti-fingerprint, upgraded impact resistant bumpers, Impact resistant corners protection, provide your device the reliable protection., Non-Slip Design：Special Non-slip bars design on both side, offer comfortable grab, classic texture, match all style., Wireless Charging Friendly：Ultra 23 Samsung Phone case supports wireless charging, because of its slim feature, you don't need to take off the case when charging your phone wirelessly, making your daily use more convenient",(منتج ممتاز)   (Title says it really  case looks good and stylish. Loved the textured back for a nice feel. Doesn't feel bulky and fits phone perfectly.  Really like the idea of the shutter for lenses. It offers privacy but also great protection for the lens from scratches or damage.)   (This case has great build quality and fitting. All cut outs are accurate. The camera slider clicks into place when it is fully closed or opened and provides good protection for the lenses. Grippy texture at the back and on the sides helps to grip large phones like S24 ultra.)   (Lovely product)   (The cover quality is good but it's screen protection is not up to the mark)   ( it hardly protect the screen if phone fell down because the edges are just at the level of phone screen)   (The case is smooth and sleek and well built and protects the phone well. I like how it's nicely tight fitted and all the buttons are in nice order and so is the others like charging port)   ( mic and speaker etc overall the case is nice but too bad it doesn't come with a screen protector or cover the screen like a ottorbox case.),4.5 out of 5 stars,139 ratings,Nillkin,covers
"Ringke Onyx Case Compatible with Samsung Galaxy S24 Ultra Case 6.8 Inch (2024), Non-Slip, Flexible, TPU, Scratch-Resistant, Thin Mobile Phone Case for Galaxy S24 Ultra - Grey",799.99,No Sale,https://m.media-amazon.com/images/I/71D+2yA7e2L._AC_SX522_.jpg,(Brand : Name Ringke)   (Compatible : Devices Samsung Galaxy S24 Ultra 5G 6.8-inch (2024))   (Color : gray)   (Material : Plastic)   (Item : Dimensions 16.6 x 8.3 x 1.2 centimeters)   (Form : Factor Phone case),"Tough durable case with Ringke exclusive design for Galaxy S24 Ultra, Made of slim and lightweight TPU material for increased protection from bumps and scratches, Streamlined design with non-slip and fingerprint-proof granule structure on the back and frame, Duo QuikCatch lanyard holes on each side of the device allow the use of accessories such as hand straps, wrist straps and phone straps. (Additional accessories not included), Supports wireless charging and compatibility with screen protectors",(ماشاء الله توصيل سريع ومنتج حلو)   (Totally recommend it)   (مطابق للوصف ومصنوع من خامات جيدة)   (اختيار ممتاز لونه تحفه Perfect fitting)   (Proteje muy bien al dispositivo)   ( es resitente)   ( no se mueve de lugar y es duradera. No me gustan los aros extra que tiene alrededor de las cámaras)   ( creo que no eran necesarios pero supongo que proteje mejor. No era el azul que esperaba pero no se ve mal. Podrían cambiar un poco la textura para que no sea tan repetitiva.)   (This is a good case ! Looks real nice)   (feels good and grippy.has good amount of top and bottom lip protection side lip protection could of been a bit taller but still has some even with a glass screen protector on.camera lenses have a good amount of lip protection also.i was using the spigen zero hybrid one case and the camera lense protection was so small I got a scratch on the zoom lense but luckily it doesn't show in photos.so I really recommend the ringke onyx case but definitely do not recommend the spigen zero hybrid one case !!!!)   (Amazon said it with a note near the description Frequently Returned Item. I found it to be superior quality in feel and grip and fitment. I avoided it at first and bought a different one with good ratings and that one was loose and the buttons you could not feel them to know if you were pushing them. So I returned it and got this one and glad I did. Not bulky and textured very nicely for a good feel. The buttons work nice as well.)   (il tiens bien en main)   ( pas de trace de doigt)   ( jolie design. Prix : très correct Qualité : excellente)   (I've always used Spigen cases but decided to try this for the extra grip. Feels good on the phone and in the hands. The grip feels premium and works well. Looks good too. Easy to recommend.),4.5 out of 5 stars,153 ratings,Ringke,covers
"Nillkin S24 Ultra Case Slim, for Samsung Galaxy S24 Ultra Case, Pocket-Friendly, Anti-Scratch & Slip S24 Ultra Phone Case Black",525,No Sale,https://m.media-amazon.com/images/I/71+CljyqdwL._AC_SX522_.jpg,(Brand : Name Nillkin)   (Compatible : Devices Samsung Galaxy S24 Ultra)   (Color : Black)   (Material : Thermoplastic Polyurethane hard PC back cover)   (Item : Dimensions 21 x 15 x 2 centimeters)   (Water : Resistance Level Water Resistant),【Compatibility】 only for Samsung Galaxy S24 Ultra 【Not Compatible with Galaxy S24/S24】 doesn't include camera lens protectors or built-in camera lens protector.,(I won't recommend anything else beside this )   ( elegant in design and looks nice special the black version and got camera bump so it good to go)   (شكل و خامه و تفاصيل روعه)   (Amazing quality and product Didn't expect to be that good Loving it)   (خامه جيدة وفخم وملمسه جميل)   (Perfect)   (De buen material)   (value for money.)   (Práctica)   ( ligera y se ajusta perfectamente)   ( es delgada y permite la adecuada utilización del teléfono.)   (The case is really good quality and will protect phone very securely. However I didn't felt ultra thin feeling. Little hefty.)   (I had never seen this brand case before I found this one but man what a great case! Slim and fits like a glove. Flexible enough to make it easy to install your phone but rigid enough to provide great protection. Corners have slight numbers on them to help absorb shock if dropped. Nice cross hatch texture on the back to help with grip. Case adds very little bulk to your phone. Cutouts are perfectly aligned with features. This will be my goto brand from now on. Great value!),4.9 out of 5 stars,22 ratings,Nillkin,covers
"Dl3 Mobilak Case Compatible with Samsung Galaxy A35 5G, Cover Silicone Transparent TPU Gorilla Anti-shock Protector Camera Shockproof Corners - Clear",105,No Sale,https://m.media-amazon.com/images/I/713wlMfNDvL._AC_SX522_.jpg,"(Brand : Name Dl3 Mobilak)   (Compatible : Phone Models Samsung Galaxy A35 5G,)   (Color : Clear)   (Material : Thermoplastic Polyurethane)   (Form : Factor Basic Case)   (Pattern : Galaxy)   (Special : Features Shock-Absorbent)","Compatible with Samsung Galaxy A35 5G,., BEST CAMERA PROTECTION: Specially designed Camera Openings / Holes ensure 100% Complete Camera Protection., DUST PLUGS: Built-In Dust Plug/s Protect Your Phone from Unwanted Dust & Debris which can slowly Cause Damage to your phone., SHOCKPROOF BUMPERS: Sleek Protectors on all 4 sides provide Excellent Protection to the device while keeping it Sleek & Slim., ANTI-SLIP GRIP: The Case has Anti-Slip Grip Design Built-In to ensure that the phone does not accidentally slip or fall from your hand., ULTRA SLIM & LIGHTWEIGHT: Extremely Lightweight with Slim Profile so that it does not add any bulk to your Slim Phone.",(),No Rating,No Ratings,Dl3 Mobilak,covers
Nillkin CamShield Pro S24 Ultra Mobile Phone Case with Camera Protection Ultra Thin Premium Bumper Hybrid Protective Case for Samsung Galaxy S24 Ultra 5G (Black),485,No Sale,https://m.media-amazon.com/images/I/81buKiPd1ZL._AC_SX522_.jpg,(Brand : Name Nillkin)   (Compatible : Devices Samsung Galaxy S24 Ultra)   (Color : black)   (Material : Plastic)   (Item : Dimensions 50 x 100 millimeters)   (Water : Resistance Level Water Resistant),"For Samsung Galaxy S24 Ultra: Nillkin CamShield Pro case for Samsung Galaxy S24 Ultra with sliding camera cover, for Samsung Galaxy S24 Ultra 5G - 6.8 inch 2024. Not compatible with other phone models., Slim and comfortable to grip: Lightweight, slim profile with high-quality matte coating, special design with non-slip strips on both sides., Camera protective cover design: slide lens protection protects the camera from collisions and scratches, 0.2 mm raised bezel for the camera protection and protects your privacy. P.S. : Sometimes when you pick up the phone, your fingers will always leave fingerprints on the bottom camera hump. Your problems will be solved when you get this CamShield case., Wireless charging friendly: Nillkin CamShield Pro S24 ultra-thin case supports wireless charging, no need to remove the mobile phone case if you want to charge your phone wirelessly., Non-slip design: special non-slip design on both sides, provides comfortable grip, classic texture, fits any style. Made of environmentally friendly TPU and PC material. Anti-fingerprint, updated shockproof bumper, shockproof corner protection, provide your device with reliable protection.","(ممتاز)   (ممتازه)   (مسكته حلوة بيحافظ كويس على التلفون والكاميرا بيتحمل الصدمات جبته ب ٤٠٠ يستاهل فلوسه)   (A good and elegant case . Came as described)   (Habe die Hülle schon für mein 2. Smartphone gekauft und bin sehr zufrieden. Das Smartphone ist fest und sicher in der Hülle gelagert. Die Hülle besteht aus einem sehr griffigen Material)   ( so dass sie nicht aus der Hand rutscht. Der Rahmen der Hülle geht über das Display hinus)   ( so dass bei einem Sturz auch das Display und die Kanten sehr gut geschützt sind. Sehr praktisch und kaufentscheidend)   ( ist das Schiebefach auf der Rückseite. So wird die Kamera perfekt gegen Beschädigung und Verschmutzung geschützt. Für mich ist diese Hülle absolut empfehlenswert)   (Pro: Die Hülle fühlt sich gut und hochwertig in der Hand an und gibt durch die breite Stelle womit die Kameras verdeckt werden einen zusätzlichen halt mit dem Finger.  Kontra: Die Hülle sitzt sehr stramm)   ( so daß ich schon echt zu kämpfen hatte die Hülle wieder vom Gerät ab zu bekommen. Die Kameraabdeckung fühlt sich etwas schwerfällig an)   ( hätte man besser lösen können.  Fazit: Für den Preis ist die Hülle vollkommen zufriedenstellend.  Tipp: Die Hülle in einem warmen Wasserbad ""aufweichen"" lassen)   ( dann geht sie im Nachhinein besser wieder vom Handy ab. (Angaben ohne Gewähr) versteht dich.)   (Zunächst war ich angetan davon)   ( dass die Kamera geschützt ist. Allerdings geht der Schieber schwer und die ganze Hülle ist zu dick und zu hart. Ging daher zurück.)   (Vorweg die Passform ist sehr gut und die Hülle sehr stabil. Preis ist super. Einziger Nachteil ist)   ( dass induktives Laden bei mir nicht möglich ist. Damit benötige ich eine zweite Hülle)   ( damit ich diese Funktion nutzen kann.)   (Das ist nun bereits das dritte Handy)   ( dass ich mit dieser Hülle ausgestattet habe. Besonders der Schutz der Kamera ist mir ein Anliegen)   ( hier erfüllt die Hülle auf jedenfall ihren Zweck. Mit der Zeit wird der Schieber etwas leichtgängig)   ( bleibt aber immer noch an Ort und Stelle.)",4.5 out of 5 stars,83 ratings,Nillkin,covers
"Dl3 Mobilak Compatible with Realme 12 Pro & Realme 12 Pro+ Plus 5G Case, Military-Grade Shockproof Anti-Yellowing, Slim Protective Phone Case Full Bumper Cover - Black",258.10,325.00,https://m.media-amazon.com/images/I/71CTJuoJ87L.__AC_SX300_SY300_QL70_ML2_.jpg,"(Brand : Name Dl3 Mobilak)   (Compatible : Devices Realme 12 Pro, Realme 12 Pro Plus 5G)   (Color : Black)   (Material : Silicone, Plastic, Polycarbonate, Thermoplastic Polyurethane)   (Item : Dimensions 7 x 4 x 2 centimeters)   (Form : Factor Basic Case)","[Compatibility] Seamlessly fit for Realme 12 Pro & Realme 12 Pro+ Plus 5G. Also slim enough and easy to slide in and out of the pocket, [Anti-Yellowing] The case back is completely crystal clear so that your phone's original beauty and exquisite logo will show off through it, and not easy to get yellowing over the time, keeping long-lasting clarity, [Drop Protection] Built with flexible TPU bumper and scratch-resistant hard PC back, perfectly protect your phone from daily drops and bumps. Easy to grip and prevent ugly watermark gathering inside the case, [More Protective] Thoughtful raised bezels around the screen and camera offer added protection against surface scratches. In addition, unique cushions in the four corners effectively absorb shock, [Precision Cutouts] Precise cutouts for the speaker, camera, buttons and other ports. Allow full access to all features and controls, [Slim & Sleek] Exclusively fit Realme 12 Pro & Realme 12 Pro+ 5G. We take aesthetics and protection into account and this protective cover will not make your phone look bulky",(Delivery was very fast The cover quality is very good Thanks for the seller)   (ممتاز)   (كويس معقول)   (خامته جميله ومظبوط ع للموبايل)   (ممتاز),4.7 out of 5 stars,9 ratings,Dl3 Mobilak,covers
"Ringke Fusion-X Case Compatible with iPhone 15 Pro Max 6.7-Inch, [Military-Grade Protection] Advanced Protection PC + TPU Bumper Phone Cover - Camo Black",800,No Sale,https://m.media-amazon.com/images/I/81Rk9O3rGPL._AC_SX522_.jpg,(Brand : Name Ringke)   (Compatible : Devices iPhone 15 Pro Max (2023))   (Color : Camo Black)   (Material : Polycarbonate Thermoplastic Polyurethane)   (Item : Dimensions 16.6 x 8.3 x 1.6 centimeters)   (Water : Resistance Level Not Water Resistant),"Powerful protection case with Ringke-designed tactile camouflage print for the iPhone 15 Pro Max., Tailor-made to fit the device with covered buttons and camera bezel, precise cutouts, and easy access to all ports and functions., Anti-yellowing clear polycarbonate back and flexible TPU frames provide solid protection against drops and scratches., Triple QuikCatch lanyard holes on each side of the case and at the top corner to attach accessories such as hand straps, wrist lanyards, and phone charms. (Additional accessories not included), Supports wireless charging and screen protector compatibility.",(I buy a lot of cases. This one is a favourite for sure. Rugged. Doesn’t look cheap and pretty awesome looking.)   (حلو جدا)   (👍)   (Les trois protections objectifs (d'une autre marque) passent parfaitement dans les trous.  L'angle opposé aux objectifs est plus épais pour avoir une stabilité parfaite une fois poser à plat. C'est bien pensé.)   (Really nice case and very sturdy too. It is not magsafe compatible so if you're looking for a case to use with magsafe accessories then this case is not recommended.)   (Excelente funda la recomiendo protege muy bien el celular y es un diseño que no encuentras en tiendas locales)   (Sehr schöne Handyhülle…),4.5 out of 5 stars,213 ratings,Ringke,covers
Oppo A17 Dual SIM 4GB Ram+64GB ROM (6.5 Inches) (4G LTE) - (Black) (GLOBAL VERSION),5050,No Sale,https://m.media-amazon.com/images/I/51Vb6Yv5GwL._AC_SX522_.jpg,(Brand : Name OPPO)   (Compatible : Devices oppo)   (Color : Black)   (Material : Acrylic)   (Item : Dimensions 12 x 9 x 23 centimeters)   (Water : Resistance Level Not Water Resistant),"A 17 4/64, Black",(جيد و لكن ينقص كتابه كافه تفاصيله)   (خسارة فيه اي فلوس حرام عليكم)   (ممتاز جدا والتغليف ممتاز)   (لكن بعد فتره من الاستخدام كان هناك تغير كبير في الاستخدام)   (جيد فى الفئه السعرية دى وشكل جميل ونازل لاندرويد 12)   (التغليف الخارجي جيد جداً بس جه بدون سماعه)   (اعرف ابوو)   (تم خصم المبلغ المستحق وتاني يوم تم إرجاع الطلب لماذا لا توجد اجابه واضحه وصريحة),3.8 out of 5 stars,16 ratings,Oppo,covers
"Ringke Onyx [Feels Good in The Hand] Compatible with Samsung Galaxy S24 Ultra Case 5G, Anti-Fingerprint Technology Prevents Oily Smudges Non-Slip Enhanced Grip Precise Cutouts for Camera - Black",799.99,No Sale,https://m.media-amazon.com/images/I/71S9nFUN-+L._AC_SX522_.jpg,(Brand : Name Ringke)   (Compatible : Devices Galaxy S24 Ultra)   (Color : Black)   (Material : Thermoplastic Polyurethane)   (Item : Dimensions 16.6 x 8.3 x 1.2 centimeters)   (Form : Factor Basic Case),"Precise cutouts for additional camera lens protection, Anti-Fingerprint technology prevents oily smudges, Lightweight flexible TPU material and it feels great in the hand, Supports wireless charging and works with phone grips, Non-Slip pattern enhances the grip and prevent accidental drops by using built-in lanyard holes",(I bought it and I checked the authenticity before opening it and it's original and very elegant.)   (Excelente produto. Cumpre bem o papel de proteger o telefone com pequenas saliências nas regiões das câmeras e nas bordas do telefone. O material é fosco de forma que dá uma boa pegada na mão.)   (A capa é bem bonita)   ( de material aparentemente resistente e tem excelente encaixe no aparelho.)   (I wanted a grippy case offering great protection)   ( individual camera cutouts)   ( a way to avoid smudges on the back)   ( and some style I like. With this in mind)   ( I tried quite a few cases from Spigen)   ( Speck)   ( Tech21 and Ghostek. I'm keeping the Ringke Onyx since it simply checks all of my boxes. It strikes a balance between slimness and protection. The navy color is vibrant enough to be fun and yet not corny or cheap looking. Certainly fits my preference. The texture back and side pattern simply work as advertised. Other I tried all say grippy)   ( but not nearly close to the Ringke. Some are rather slippery! I like the idea of raised edge around the top and bottom part of the screen. That area might collect more dust though. A small con that is easily outweighed by points above. I have tried the much more expensive cases like brand grip case)   ( but I'm happy with the Ringke Onyx)   ( so it's a great value for me.)   (After 6 months this case looks new. Thru hot and cold)   ( and rough handling)   ( this case protects perfectly. I've used many cases and have replaced due to deformation or damage)   ( except for this one. This unique blue looks like a shadow)   ( instead of a boring black. The grip bumps on the sides ensure it won't slip. There aren't any grooves that collect dirt. Grease and grime don't stick to it. The thickness is ideal.)   (La verdad es que la compré por el precio pero quedé encantada con ella. Es muy ligera pero protege perfectamente mi teléfono. Gracias a su textura no se le quedan las huellas marcadas como a las fundas de silicón liso)   ( y no se atora en la tela del bolsillo de la bolsa o del pantalón. Me encanta que las esquinas sobresalen un poco)   ( lo que impide que al poner el teléfono boca abajo la pantalla toque la superficie donde se apoya. Ojalá hubiera más variedad de colores)   ( compraría más.),4.5 out of 5 stars,632 ratings,Ringke,covers
